Totaldemandquarterly,Spain_quarter,Austria_quarter,Japan_quarter,Hungry_quarter,germany_Quarter,polland_quarter,UK_quarter,France_quarter,Romania_quarter,italy_quarter,Grece_quarter,Crotia_quarter,Holland_quarter,Finland_quarter,Hongkong_quarter,Pi_Domestic_Quarter,Pi_exports_quarter,Gdp_quarter,Time_index,Market_Share,Advertisement_Expense
14834,476,1885,2523,483,258,1518,357,2691,2244,275,905,298,82,274,541,4,27,0.331578947,2002-01-31,20,325779
17391,787,20,658,3989,127,3835,1610,3016,2648,2942,191,1042,92,174,356,43,27,0.378947368,2002-04-30,30,337193
6588,153,714,116,877,972,710,2142,2347,511,848,268,1082,493,635,21,17,12,0.047368421,2002-07-31,32,245524
29255,1599,419,1449,577,159,2937,1599,1028,265,203,1694,294,3555,3018,1087,38,49,0.142105263,2002-10-31,27,245946
20399,28,930,11147,279,99,551,1300,3198,872,1872,62,803,1940,286,1787,46,14,0.3,2003-01-31,21,131022
23095,4,128,581,227,475,4178,3142,780,756,1102,617,354,614,466,2432,13,6,0.525,2003-04-30,34,477937
8015,912,147,346,11,265,416,41,5184,3681,1034,168,353,503,1255,981,7,70,0.6,2003-07-31,31,365862
20254,120,897,2304,1318,614,3733,1382,518,631,413,1191,335,1237,339,425,44,28,0.675,2003-10-31,30,439435
2130,101,911,7294,253,486,1511,980,1329,685,728,741,101,1656,791,5866,50,78,0.107142857,2004-01-31,31,298136
27414,183,822,1165,548,387,3433,4341,1515,518,394,3,6,421,979,969,7,17,0.214285714,2004-04-30,21,257422
39422,268,276,1861,775,41,275,255,3473,2971,89,1324,1170,269,337,358,43,32,0.642857143,2004-07-31,31,154815
2915,389,50,3585,182,505,3528,248,2804,1505,3254,16,517,1712,84,643,20,7,0.535714286,2004-10-31,29,406843
10224,12,628,239,131,196,3820,1673,3191,585,1689,320,221,1131,519,696,28,65,0.82173913,2005-01-31,32,143582
17393,28,133,12344,449,631,3587,1592,4756,3486,1107,351,321,1987,1547,1179,5,22,0.547826087,2005-04-30,29,181662
7686,790,570,1834,948,633,1095,967,1331,738,1782,1173,288,755,39,1428,27,6,0.639130435,2005-07-31,20,364237
37082,212,874,399,311,19,661,1751,334,1127,108,357,1051,286,143,1830,41,7,0.091304348,2005-10-31,24,282920
1846,182,741,3267,569,620,4961,2428,1130,188,10,358,712,741,563,1565,18,15,0.442105263,2006-01-31,27,144890
8181,143,81,8793,235,159,2246,1483,1747,1299,364,635,177,2623,1333,1011,52,14,0.147368421,2006-04-30,26,203231
635,277,766,623,1071,699,1099,184,4896,3292,3432,654,520,887,479,375,14,61,0.221052632,2006-07-31,30,128694
62809,537,543,2672,83,84,1138,1890,2266,1477,869,549,349,274,47,1075,18,11,0.589473684,2006-10-31,34,110191
33016,391,392,1958,215,874,4242,362,1811,2390,642,482,549,262,662,4775,30,9,0.133333333,2007-01-31,33,340054
1867,121,9,80,1208,219,814,3351,6465,1427,585,292,114,2268,402,794,50,48,0.2,2007-04-30,21,424163
12780,244,582,4199,218,122,2676,394,411,237,161,472,97,477,562,1238,6,19,0.333333333,2007-07-31,29,298109
26264,302,1127,8460,262,305,1202,1580,504,1715,2897,760,890,1230,588,1858,23,29,0.533333333,2007-10-31,27,111673
35615,224,463,6934,301,361,420,2433,1522,1422,129,205,245,2958,336,2361,3,16,-0.913043478,2008-01-31,20,181223
18047,588,912,6028,422,818,1124,1320,186,1978,340,138,846,393,297,1351,40,92,-0.760869565,2008-04-30,33,341403
2992,147,270,1400,282,60,6063,1727,3022,2115,1586,955,238,814,1365,1068,91,9,-1.217391304,2008-07-31,20,247470
18319,41,47,351,932,204,1380,190,4467,216,2593,1036,542,66,45,4695,9,13,-0.608695652,2008-10-31,21,494854
42021,38,390,5660,155,803,674,1405,1360,981,230,266,44,1216,699,6833,1,48,-0.765217391,2009-01-31,21,150566
6431,392,1024,2357,1190,444,5689,2833,5112,1388,1575,1201,1256,443,286,550,11,20,-0.573913043,2009-04-30,24,224494
9559,145,75,3522,519,36,467,1117,2457,1692,105,238,124,2100,645,969,38,2,-0.47826087,2009-07-31,22,488609
17531,462,190,2955,63,175,2406,468,468,1788,3190,745,519,581,388,439,59,12,-0.382608696,2009-10-31,26,479213
9553,311,577,1302,92,931,5169,558,1230,112,2079,265,1618,155,1022,231,33,2,0.8,2010-01-31,33,194556
28265,282,776,2949,1114,78,462,2765,5009,292,1287,357,12,1342,1379,6084,9,58,0.16,2010-04-30,21,483743
12205,698,219,1166,155,152,2571,670,1941,1405,1030,1449,82,785,512,2964,42,17,0.96,2010-07-31,21,181439
24900,652,58,7937,435,24,1564,1623,88,3338,328,223,181,1704,864,265,19,25,1.28,2010-10-31,32,140033
374,402,618,4778,485,219,92,786,1404,212,446,45,1281,597,353,1742,60,44,0.029411765,2011-01-31,35,493804
38097,72,53,7863,897,437,1156,241,3084,369,3157,1775,583,3176,506,755,20,6,0.088235294,2011-04-30,21,452504
25366,271,565,2682,113,455,6541,3718,4618,339,1140,87,109,853,517,874,23,27,0.117647059,2011-07-31,33,184829
14589,293,655,12,625,367,2377,1726,1376,5578,523,610,133,33,874,2777,5,23,0.264705882,2011-10-31,22,171974
2303,195,137,7373,156,16,3022,2005,8522,2196,1806,1789,646,970,10,345,46,21,0.189473684,2012-01-31,31,292860
25783,623,49,8989,804,1146,2884,1736,1102,273,1466,938,206,1518,340,393,1,2,0.284210526,2012-04-30,27,366376
52640,101,1032,212,1072,465,127,3419,2759,4869,124,42,937,471,951,282,2,37,0.094736842,2012-07-31,30,385410
510,307,100,302,623,195,3706,1250,232,583,2581,62,322,1415,465,575,47,31,0.331578947,2012-10-31,22,218731
48176,73,225,643,868,363,5037,692,4460,2471,2569,386,138,1403,1234,83,9,2,0.5,2013-01-31,27,455659
8499,43,606,15525,595,535,2787,2360,2392,1304,1080,675,376,148,454,246,27,3,0.6,2013-04-30,32,288580
6366,438,271,255,182,376,4440,766,4303,1327,1406,1244,273,132,450,613,46,29,0.8,2013-07-31,29,173770
19274,769,308,2908,956,565,373,2560,400,1748,769,485,1248,2441,445,93,19,68,0.7,2013-10-31,32,181490
30597,265,530,3020,1813,299,2138,2047,1050,430,3134,651,1317,564,1022,343,17,34,-0.178571429,2014-01-31,28,480936
24673,801,652,12059,323,55,4040,2864,2079,900,1840,639,3,2278,340,385,24,12,-0.035714286,2014-04-30,33,271907
10164,238,142,3473,206,646,3889,2710,1809,3882,12,1089,41,2133,115,70,40,8,-0.214285714,2014-07-31,27,328621
19485,19,398,2,287,731,1000,404,7287,2427,805,337,725,72,1013,1076,24,55,-0.071428571,2014-10-31,35,415613
13947,43,707,6496,948,616,1607,3870,2432,4522,197,835,550,292,184,1,11,1,0.371428571,2015-01-31,32,444842
5304,541,8,213,437,391,3337,882,4996,937,2768,1042,159,1111,1393,579,2,40,0.417857143,2015-04-30,24,175328
61487,57,1352,5864,684,271,1894,1553,2936,513,226,757,496,32,307,317,13,19,0.185714286,2015-07-31,27,165351
5134,834,91,6717,750,405,4976,1490,2117,2010,2290,12,682,3406,604,134,70,30,0.325,2015-10-31,27,389949
26297,515,648,11840,70,516,5044,412,1826,4872,2795,317,320,1370,342,379,38,28,0.216666667,2016-01-31,31,161449
5377,256,174,1320,1375,333,2257,454,1342,2103,1973,553,1167,2552,715,316,32,43,0.361111111,2016-04-30,21,242765
2099,75,103,2715,1380,42,1154,4485,2984,760,402,887,45,225,1377,1637,19,10,0.577777778,2016-07-31,21,115167
52057,595,1293,3147,65,793,2897,2190,6085,205,364,904,212,477,29,148,4,22,0.144444444,2016-10-31,24,369940
48295,44,489,7057,1068,541,2643,2904,512,3484,3557,1229,424,1348,1566,966,33,12,0.617647059,2017-01-31,23,218603
17183,190,267,5781,851,133,5372,664,2044,1725,424,710,586,432,356,54,9,43,0.264705882,2017-04-30,28,332436
6098,1187,713,2301,801,138,757,2062,1200,639,338,160,96,2700,608,1165,5,5,0.441176471,2017-07-31,32,274320
14544,2,705,3961,402,846,3068,2191,8467,2165,818,388,671,51,38,59,47,41,0.176470588,2017-10-31,31,156807
