Year,Total_Demand(Tonnes),Spain,Austria,japan,Hungry,germany,PI_Domestic,PI_Exports,Gdp_growth,Market_Share,Advertisement_Expense,ratioincrease
2002,74621,2932,2789,7017,4200,1218,141,112,2,31,226364,
2003,81741,2280,1641,14490,5359,1400,95,114,-2,24,148076,9.541549966
2004,73331,1980,2009,12320,3334,1830,132,121,-1,23,189098,-10.28859446
2005,79962,2306,2872,9951,5383,1356,117,121,-3,21,104743,9.042560445
2006,73177,1867,1924,16629,5697,1368,138,100,-3,22,137602,-8.485280508
2007,70881,2101,2098,5687,5330,1624,99,90,-2,29,455193,-3.137597879
2008,81863,2888,2414,18704,1804,1813,123,104,2,33,381527,15.49357374
2009,78633,1938,2261,5719,2692,1574,124,84,3,30,356842,-3.945616457
2010,82996,2411,2715,11059,4338,1537,129,110,0,25,303375,5.548561037
2011,69206,1841,2366,17365,2537,1296,132,103,-1,34,359056,-16.61525857
2012,74520,2399,1659,6562,4824,1662,107,89,-1,24,345498,7.678524983
2013,70183,1885,2513,7309,2966,1439,104,121,3,21,263132,-5.819914117
2014,70363,2742,2313,12215,4948,1808,122,117,3,31,267738,0.256472365
2015,68616,1963,2372,9792,4713,1477,130,122,-2,24,346684,-2.482838992
2016,71757,1871,2063,5864,3871,1219,98,85,-3,26,288420,4.577649528
2017,71056,2085,1413,12189,1818,1414,114,100,-3,23,280990,-0.976908176
2018,81741,2280,1641,14490,5359,1400,95,114,-2,24,148076,9.541549966
2019,73177,1867,1924,16629,5697,1368,138,100,-3,22,137602,-8.485280508
2020,78633,1938,2261,5719,2692,1574,124,84,3,30,356842,-3.945616457
2021,74520,2399,1659,6562,4824,1662,107,89,-1,24,345498,7.678524983
2022,68616,1963,2372,9792,4713,1477,130,122,-2,24,346684,-2.482838992
