Year,Total_Demand(Tonnes),Spain,Austria,japan,Hungry,germany,PI_Domestic,PI_Exports,Gdp_growth,Market_Share,Advertisement_Expense
2002,72171,1052,2067,13971,2215,1774,106,130,2,33,442803
2003,75507,2494,1229,11045,4857,1690,126,95,-1,30,431794
2004,62511,2884,1291,15120,5416,1876,64,148,0,26,306940
2005,62168,1712,1556,16657,5443,1659,60,113,1,29,354041
2006,63206,2019,1837,9252,2552,1166,95,146,-2,29,468180
2007,62205,2503,1417,13939,5870,1687,76,108,-2,32,236199
2008,70405,2437,1035,11152,5503,1042,58,131,3,30,312271
2009,62215,1283,2000,8014,5192,1965,67,118,1,37,422902
2010,65604,2804,1076,9425,4217,1366,69,104,-1,32,356766
2011,65378,2681,2477,6617,4981,1574,55,145,3,26,460045
2012,69160,2394,1551,8271,4894,1678,127,91,-1,29,205701
2013,72368,2713,1910,12368,2562,1257,97,106,1,38,376527
2014,68762,1388,1733,7308,2244,1674,52,148,3,27,374233
2015,75042,1909,1210,14750,2929,1747,131,98,2,37,347810
2016,65757,2763,2314,11795,2721,1748,113,83,-3,30,384265
2017,62533,2792,1870,15056,3896,1332,100,118,-1,38,317866
2018,65668,1738,1132,13810,5495,1443,79,91,3,33,340167
2019,73077,1460,1992,16827,2184,1765,105,115,3,33,294434
2020,74414,2624,2176,7425,3943,1668,108,131,2,25,277878
2021,72199,2976,1758,11835,5021,1440,69,116,1,38,478480
2022,61825,1496,1507,14968,5378,1238,57,82,0,39,466108
