Year,Total_Demand(Tonnes),Spain,Austria,japan,Hungry,germany,PI_Domestic,PI_Exports,Gdp_growth,Market_Share,Advertisement_Expense
2002,72598,2051,1835,17789,3502,1769,71,113,-1,29,245202
2003,76691,1962,1403,16967,2571,1721,78,138,-3,27,316968
2004,70584,1983,1392,14557,5882,1704,118,129,-1,39,390893
2005,66004,1433,1223,9029,3558,1161,50,139,3,38,247524
2006,64046,2404,2103,8748,2110,1850,140,130,3,39,222244
2007,61501,1971,2278,11609,5701,1694,129,123,-3,39,240709
2008,72023,1189,2493,7639,5733,1214,134,100,-3,33,342790
2009,64125,1591,1683,7839,4170,1621,129,91,-3,29,310695
2010,67796,1870,1658,9408,5019,1130,117,129,-1,32,468139
2011,65066,1070,1517,17241,3685,1101,75,140,-1,31,287631
2012,61155,2174,1935,9060,3124,1987,109,109,0,29,295171
2013,65713,2045,1257,6511,2025,1331,85,80,0,36,236555
2014,65014,2264,1760,7306,3037,1145,149,110,2,35,430947
2015,61718,1543,2147,5501,3040,1590,108,130,0,25,488108
2016,70496,2872,2028,17806,4169,1624,82,86,-3,32,428737
2017,69253,2892,2449,17097,3850,1978,121,135,-2,26,267675
2018,60103,2205,1865,5611,3191,1582,55,131,-1,40,429847
2019,70370,1441,1854,15085,2178,1371,52,101,-3,35,321874
2020,62166,1492,2122,7661,4763,1686,124,125,2,25,283300
2021,72881,2403,1887,5546,4576,1993,128,123,1,35,208328
2022,60164,2350,1788,11151,4844,1823,117,130,3,39,470544
